system   I             system.c:245  al_install_system                [   0.00365] Allegro version: 5.1.12 (WIP)
font     D                ttf.c:225  alloc_glyph_region               [   6.29529] Glyph 75: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.29549] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.29556] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.29648] Glyph 93: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.29669] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.29676] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.29761] Glyph 17: 4x4 (4x4)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.29781] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.29789] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.29889] Glyph 86: 9x12 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.29915] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.29925] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.30015] Glyph 71: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.30038] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.30045] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.30150] Glyph 88: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.30171] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.30179] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.30328] Glyph 74: 11x16 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.30347] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.30357] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.30756] Glyph 69: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.30778] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.30786] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.30876] Glyph 15: 4x6 (4x8)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.30898] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.30905] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.31147] Glyph 11: 7x19 (8x20)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.31157] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.31164] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.31271] Glyph 12: 7x19 (8x20)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.31292] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.31300] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.31613] Glyph 73: 8x15 (8x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.31623] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.31630] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.31780] Glyph 20: 7x15 (8x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.31790] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.31797] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.31887] Glyph 19: 11x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.31909] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.31930] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.32019] Glyph 91: 11x12 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.32040] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.32048] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.32137] Glyph 27: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.32158] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.32165] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.32350] Glyph 21: 11x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.32362] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.32369] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.32840] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.32854] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   7.78544] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   7.78554] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   7.78559] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   7.78565] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   7.78570] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   7.78575] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   7.78580] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   7.78585] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   7.78590] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   7.78595] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   7.78600] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   7.78606] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   7.78611] Chose bitmap format 9
font     D                ttf.c:225  alloc_glyph_region               [   7.78743] Glyph 54: 22x28 (24x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.78868] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.78875] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.79425] Glyph 87: 12x28 (12x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.79469] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.79477] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.79873] Glyph 68: 19x21 (20x24)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.79913] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.79921] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.80098] Glyph 92: 20x28 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.80138] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.80145] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.80330] Glyph 86: 18x21 (20x24)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.80374] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.80381] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.80550] Glyph 78: 18x28 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.80589] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.80596] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.80762] Glyph 76: 5x28 (8x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.80807] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.80814] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.80993] Glyph 49: 13x15 (16x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.81004] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.81011] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.81493] Glyph 44: 4x15 (4x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.81517] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.81525] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.81621] Glyph 31: 11x11 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.81647] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.81659] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.81747] Glyph 28: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.81768] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.81776] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.81865] Glyph 24: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.81887] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.81894] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.81985] Glyph 33: 11x11 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.82006] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.82013] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.82096] Glyph 32: 11x8 (12x8)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.82117] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.82125] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.82225] Glyph 22: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.82253] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.82260] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.82376] Glyph 26: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.82403] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.82410] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.82553] Glyph 43: 13x15 (16x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.82580] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.82587] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.82672] Glyph 50: 14x15 (16x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.82692] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.82700] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.82785] Glyph 47: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.82806] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.82814] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   7.82889] Glyph 13: 7x7 (8x8)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.82909] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.82916] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.83159] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.83169] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.83238] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.83250] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48037] removed dtor for object 00C2BE80
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48112] removed dtor for object 00C2C180
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48258] removed dtor for object 00C2C3C0
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48661] removed dtor for object 00C2C0C0
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48815] removed dtor for object 02EE46C8
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48852] removed dtor for object 02EE2C18
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48898] removed dtor for object 02EE2A88
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48925] removed dtor for object 02EE4228
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48961] removed dtor for object 02F06E70
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.48999] removed dtor for object 05C81750
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.49020] removed dtor for object 05C812C0
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.49051] removed dtor for object 05C81428
d3d      I         d3d_disp.cpp:899  d3d_destroy_display              [  10.49077] destroying display 00C1D5D8 (current 00000000)
d3d      D         d3d_disp.cpp:883  d3d_destroy_display_internals    [  10.49390] waiting for display 00C1D5D8's thread to end
d3d      W         d3d_disp.cpp:593  d3d_destroy_device               [  10.50489] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:593  d3d_destroy_device               [  10.50531] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1551 d3d_display_thread_proc          [  10.58046] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.58167] removed dtor for object 02E43F28
